year,region,residence,metric,unit,value
2016,TOTAL,TOTAL,Major Attractions and Sites | Sentosa,%,23.0
2016,TOTAL,TOTAL,Major Attractions and Sites | Singapore Flyer/ Flight Experience,%,16.0
2016,TOTAL,TOTAL,Major Attractions and Sites | Singapore Zoo,%,13.0
2016,TOTAL,TOTAL,Major Attractions and Sites | Night Safari,%,9.0
2016,TOTAL,TOTAL,Major Attractions and Sites | River Wonders (formerly River Safari),%,8.0
2016,TOTAL,TOTAL,Major Attractions and Sites | Bird Paradise (formerly Jurong Bird Park),%,6.0
2016,TOTAL,TOTAL,Major Attractions and Sites | National Orchid Gardens,%,4.0
2016,TOTAL,TOTAL,Free Access Attractions and Sites | Orchard Road,%,48.0
2016,TOTAL,TOTAL,Free Access Attractions and Sites | Chinatown,%,29.0
2016,TOTAL,TOTAL,Free Access Attractions and Sites | Merlion Park,%,26.0
2016,TOTAL,TOTAL,Free Access Attractions and Sites | Little India,%,19.0
2016,TOTAL,TOTAL,Free Access Attractions and Sites | Esplanade Theatres by the Bay,%,14.0
2016,TOTAL,TOTAL,Free Access Attractions and Sites | Singapore River/ Clarke Quay/ Boat Quay,%,16.0
2016,TOTAL,TOTAL,Free Access Attractions and Sites | Singapore Botanic Gardens,%,10.0
2016,TOTAL,TOTAL,Free Access Attractions and Sites | Raffles Hotel,%,7.0
2015,TOTAL,TOTAL,Major Attractions and Sites | Integrated Resort (MBS/RWS),%,38.0
2015,TOTAL,TOTAL,Major Attractions and Sites | Gardens by the Bay,%,26.0
2015,TOTAL,TOTAL,Major Attractions and Sites | Sentosa,%,17.0
2015,TOTAL,TOTAL,Major Attractions and Sites | Singapore Flyer/ Flight Experience,%,9.0
2015,TOTAL,TOTAL,Major Attractions and Sites | Singapore Zoo,%,7.0
2015,TOTAL,TOTAL,Major Attractions and Sites | Night Safari,%,7.0
2015,TOTAL,TOTAL,Major Attractions and Sites | River Wonders (formerly River Safari),%,2.0
2015,TOTAL,TOTAL,Major Attractions and Sites | Bird Paradise (formerly Jurong Bird Park),%,3.0
2015,TOTAL,TOTAL,Major Attractions and Sites | National Orchid Gardens,%,4.0
2015,TOTAL,TOTAL,Free Access Attractions and Sites | Orchard Road,%,42.0
2015,TOTAL,TOTAL,Free Access Attractions and Sites | Chinatown,%,41.0
2015,TOTAL,TOTAL,Free Access Attractions and Sites | Merlion Park,%,22.0
2015,TOTAL,TOTAL,Free Access Attractions and Sites | Little India,%,27.0
2015,TOTAL,TOTAL,Free Access Attractions and Sites | Esplanade Theatres by the Bay,%,5.0
2015,TOTAL,TOTAL,Free Access Attractions and Sites | Singapore River/ Clarke Quay/ Boat Quay,%,16.0
2015,TOTAL,TOTAL,Free Access Attractions and Sites | Singapore Botanic Gardens,%,8.0
2015,TOTAL,TOTAL,Free Access Attractions and Sites | Raffles Hotel,%,7.0
2014,TOTAL,TOTAL,Major Attractions and Sites | Integrated Resort (MBS/RWS),%,38.0
