series,level,date,value
Shopping,group,2023Q2,2321
Shopping,group,2023Q3,3715
Shopping,group,2023Q4,4953
Shopping,group,2024Q1,1338
Shopping,group,2024Q2,2563
Shopping,group,2024Q3,3893
Shopping,group,2024Q4,5198
Shopping,group,2025Q1,1305
Shopping,group,2025Q2,2499
Shopping,group,2025Q3,3865
Shopping,group,2025Q4,5208
Shopping,group,2026Q1,1396
"Sightseeing, Entertainment & Gaming",group,2008Q1,37
"Sightseeing, Entertainment & Gaming",group,2008Q2,72
"Sightseeing, Entertainment & Gaming",group,2008Q3,113
"Sightseeing, Entertainment & Gaming",group,2008Q4,177
"Sightseeing, Entertainment & Gaming",group,2009Q1,37
"Sightseeing, Entertainment & Gaming",group,2009Q2,101
"Sightseeing, Entertainment & Gaming",group,2009Q3,151
"Sightseeing, Entertainment & Gaming",group,2009Q4,201
"Sightseeing, Entertainment & Gaming",group,2010Q1,219
"Sightseeing, Entertainment & Gaming",group,2010Q2,1030
"Sightseeing, Entertainment & Gaming",group,2010Q3,2178
"Sightseeing, Entertainment & Gaming",group,2010Q4,3423
"Sightseeing, Entertainment & Gaming",group,2011Q1,1339
"Sightseeing, Entertainment & Gaming",group,2011Q2,2619
"Sightseeing, Entertainment & Gaming",group,2011Q3,4090
"Sightseeing, Entertainment & Gaming",group,2011Q4,5391
"Sightseeing, Entertainment & Gaming",group,2012Q1,1513
"Sightseeing, Entertainment & Gaming",group,2012Q2,2713
"Sightseeing, Entertainment & Gaming",group,2012Q3,3791
"Sightseeing, Entertainment & Gaming",group,2012Q4,5240
"Sightseeing, Entertainment & Gaming",group,2013Q1,1349
"Sightseeing, Entertainment & Gaming",group,2013Q2,2667
"Sightseeing, Entertainment & Gaming",group,2013Q3,4148
"Sightseeing, Entertainment & Gaming",group,2013Q4,5471
"Sightseeing, Entertainment & Gaming",group,2014Q1,1617
"Sightseeing, Entertainment & Gaming",group,2014Q2,3092
"Sightseeing, Entertainment & Gaming",group,2014Q3,4412
