year,region,residence,metric,unit,value
2017,SOUTH ASIA,India,Shopping Items Purchased in terms of Popularity | Confectionery and Food Items,%,52.88238669912125
2017,SOUTH ASIA,India,Shopping Items Purchased in terms of Popularity | Souvenirs and Gifts,%,42.00035624894775
2017,SOUTH ASIA,India,Shopping Items Purchased in terms of Popularity | Genuine Jewellery,%,7.178760108357869
2017,SOUTH ASIA,India,Shopping Items Purchased in terms of Popularity | Consumer Tech,%,11.4437667629649
2017,SOUTH ASIA,India,Shopping Items Purchased in terms of Popularity | Watches and Clocks,%,7.457025471949215
2017,SOUTH ASIA,India,Shopping Items Purchased in terms of Popularity | Others,%,19.50481921968654
2017,SOUTH ASIA,India,Shopping Items Purchased in terms of Amount spent | Fashion and Accessories,%,29.8590884558135
2017,SOUTH ASIA,India,"Shopping Items Purchased in terms of Amount spent | Cosmetics, Perfumes & Toiletries and Healthcare & Wellness Products",%,10.64251729836993
2017,SOUTH ASIA,India,Shopping Items Purchased in terms of Amount spent | Confectionery and Food Items,%,12.02984560197289
2017,SOUTH ASIA,India,Shopping Items Purchased in terms of Amount spent | Souvenirs and Gifts,%,11.05758115425151
2017,SOUTH ASIA,India,Shopping Items Purchased in terms of Amount spent | Genuine Jewellery,%,15.78204193171689
2017,SOUTH ASIA,India,Shopping Items Purchased in terms of Amount spent | Consumer Tech,%,10.44952910655785
2017,SOUTH ASIA,India,Shopping Items Purchased in terms of Amount spent | Watches and Clocks,%,3.076928151884893
2017,SOUTH ASIA,India,Shopping Items Purchased in terms of Amount spent | Others,%,7.102468299524868
2017,EUROPE,France,Shopping Items Purchased in terms of Popularity | Fashion and Accessories,%,52.53976948447661
2017,EUROPE,France,"Shopping Items Purchased in terms of Popularity | Cosmetics, Perfumes & Toiletries and Healthcare & Wellness Products",%,28.54475223602849
2017,EUROPE,France,Shopping Items Purchased in terms of Popularity | Confectionery and Food Items,%,37.45194066676196
2017,EUROPE,France,Shopping Items Purchased in terms of Popularity | Souvenirs and Gifts,%,66.45976879500631
2017,EUROPE,France,Shopping Items Purchased in terms of Popularity | Genuine Jewellery,%,1.581487823038829
2017,EUROPE,France,Shopping Items Purchased in terms of Popularity | Consumer Tech,%,6.449891092279163
2017,EUROPE,France,Shopping Items Purchased in terms of Popularity | Watches and Clocks,%,6.524228494408622
2017,EUROPE,France,Shopping Items Purchased in terms of Popularity | Others,%,19.6539469425717
2017,EUROPE,France,Shopping Items Purchased in terms of Amount spent | Fashion and Accessories,%,39.37024744506733
2017,EUROPE,France,"Shopping Items Purchased in terms of Amount spent | Cosmetics, Perfumes & Toiletries and Healthcare & Wellness Products",%,10.13732300026898
2017,EUROPE,France,Shopping Items Purchased in terms of Amount spent | Confectionery and Food Items,%,8.264680381064885
2017,EUROPE,France,Shopping Items Purchased in terms of Amount spent | Souvenirs and Gifts,%,27.02170770510013
2017,EUROPE,France,Shopping Items Purchased in terms of Amount spent | Genuine Jewellery,%,1.897090488954946
2017,EUROPE,France,Shopping Items Purchased in terms of Amount spent | Consumer Tech,%,2.970802589025765
2017,EUROPE,France,Shopping Items Purchased in terms of Amount spent | Watches and Clocks,%,2.141811562438456
2017,EUROPE,France,Shopping Items Purchased in terms of Amount spent | Others,%,8.196336828282867
2017,EUROPE,Germany,Shopping Items Purchased in terms of Popularity | Fashion and Accessories,%,60.77658234120096
2017,EUROPE,Germany,"Shopping Items Purchased in terms of Popularity | Cosmetics, Perfumes & Toiletries and Healthcare & Wellness Products",%,31.57737703422444
2017,EUROPE,Germany,Shopping Items Purchased in terms of Popularity | Confectionery and Food Items,%,30.04277733547743
2017,EUROPE,Germany,Shopping Items Purchased in terms of Popularity | Souvenirs and Gifts,%,48.37708150081986
2017,EUROPE,Germany,Shopping Items Purchased in terms of Popularity | Genuine Jewellery,%,3.079782227178446
2017,EUROPE,Germany,Shopping Items Purchased in terms of Popularity | Consumer Tech,%,7.667570845743166
2017,EUROPE,Germany,Shopping Items Purchased in terms of Popularity | Watches and Clocks,%,4.240734675642935
2017,EUROPE,Germany,Shopping Items Purchased in terms of Popularity | Others,%,21.19214121710198
2017,EUROPE,Germany,Shopping Items Purchased in terms of Amount spent | Fashion and Accessories,%,50.45344097950699
2017,EUROPE,Germany,"Shopping Items Purchased in terms of Amount spent | Cosmetics, Perfumes & Toiletries and Healthcare & Wellness Products",%,12.75097538467995
2017,EUROPE,Germany,Shopping Items Purchased in terms of Amount spent | Confectionery and Food Items,%,6.011586209946044
2017,EUROPE,Germany,Shopping Items Purchased in terms of Amount spent | Souvenirs and Gifts,%,11.70841083834239
2017,EUROPE,Germany,Shopping Items Purchased in terms of Amount spent | Genuine Jewellery,%,2.053316075811479
2017,EUROPE,Germany,Shopping Items Purchased in terms of Amount spent | Consumer Tech,%,6.644167434450405
2017,EUROPE,Germany,Shopping Items Purchased in terms of Amount spent | Watches and Clocks,%,2.040248627308828
2017,EUROPE,Germany,Shopping Items Purchased in terms of Amount spent | Others,%,8.337854450042704
2017,EUROPE,Italy,Shopping Items Purchased in terms of Popularity | Fashion and Accessories,%,60.72731195707354
2017,EUROPE,Italy,"Shopping Items Purchased in terms of Popularity | Cosmetics, Perfumes & Toiletries and Healthcare & Wellness Products",%,28.64667577821288
2017,EUROPE,Italy,Shopping Items Purchased in terms of Popularity | Confectionery and Food Items,%,33.22350138060828
2017,EUROPE,Italy,Shopping Items Purchased in terms of Popularity | Souvenirs and Gifts,%,65.43738683003313
2017,EUROPE,Italy,Shopping Items Purchased in terms of Popularity | Genuine Jewellery,%,1.957417620946385
2017,EUROPE,Italy,Shopping Items Purchased in terms of Popularity | Consumer Tech,%,6.693163744259873
2017,EUROPE,Italy,Shopping Items Purchased in terms of Popularity | Watches and Clocks,%,4.650761707517603
2017,EUROPE,Italy,Shopping Items Purchased in terms of Popularity | Others,%,16.6616764615747
2017,EUROPE,Italy,Shopping Items Purchased in terms of Amount spent | Fashion and Accessories,%,47.04105999180848
2017,EUROPE,Italy,"Shopping Items Purchased in terms of Amount spent | Cosmetics, Perfumes & Toiletries and Healthcare & Wellness Products",%,14.14619252447978
2017,EUROPE,Italy,Shopping Items Purchased in terms of Amount spent | Confectionery and Food Items,%,6.837508065506473
2017,EUROPE,Italy,Shopping Items Purchased in terms of Amount spent | Souvenirs and Gifts,%,19.76259273907606
2017,EUROPE,Italy,Shopping Items Purchased in terms of Amount spent | Genuine Jewellery,%,1.250364060698304
2017,EUROPE,Italy,Shopping Items Purchased in terms of Amount spent | Consumer Tech,%,3.112861525533922
2017,EUROPE,Italy,Shopping Items Purchased in terms of Amount spent | Watches and Clocks,%,3.449946565208331
2017,EUROPE,Italy,Shopping Items Purchased in terms of Amount spent | Others,%,4.399474528827319
2017,EUROPE,Netherlands,Shopping Items Purchased in terms of Popularity | Fashion and Accessories,%,48.90434693298189
2017,EUROPE,Netherlands,"Shopping Items Purchased in terms of Popularity | Cosmetics, Perfumes & Toiletries and Healthcare & Wellness Products",%,30.66149869671442
2017,EUROPE,Netherlands,Shopping Items Purchased in terms of Popularity | Confectionery and Food Items,%,36.17970350742492
2017,EUROPE,Netherlands,Shopping Items Purchased in terms of Popularity | Souvenirs and Gifts,%,48.95690452703671
2017,EUROPE,Netherlands,Shopping Items Purchased in terms of Popularity | Genuine Jewellery,%,3.61603606830518
2017,EUROPE,Netherlands,Shopping Items Purchased in terms of Popularity | Consumer Tech,%,9.372992695503989
2017,EUROPE,Netherlands,Shopping Items Purchased in terms of Popularity | Watches and Clocks,%,2.943690143132499
2017,EUROPE,Netherlands,Shopping Items Purchased in terms of Popularity | Others,%,18.42368281724885
2017,EUROPE,Netherlands,Shopping Items Purchased in terms of Amount spent | Fashion and Accessories,%,29.83539701569098
2017,EUROPE,Netherlands,"Shopping Items Purchased in terms of Amount spent | Cosmetics, Perfumes & Toiletries and Healthcare & Wellness Products",%,11.26866646865517
2017,EUROPE,Netherlands,Shopping Items Purchased in terms of Amount spent | Confectionery and Food Items,%,6.892431403314642
2017,EUROPE,Netherlands,Shopping Items Purchased in terms of Amount spent | Souvenirs and Gifts,%,10.10031331153108
2017,EUROPE,Netherlands,Shopping Items Purchased in terms of Amount spent | Genuine Jewellery,%,3.591518154856609
2017,EUROPE,Netherlands,Shopping Items Purchased in terms of Amount spent | Consumer Tech,%,30.69517047528678
2017,EUROPE,Netherlands,Shopping Items Purchased in terms of Amount spent | Watches and Clocks,%,1.667508228984634
2017,EUROPE,Netherlands,Shopping Items Purchased in terms of Amount spent | Others,%,5.948994941680103
2017,EUROPE,Switzerland,Shopping Items Purchased in terms of Popularity | Fashion and Accessories,%,70.29403024159144
2017,EUROPE,Switzerland,"Shopping Items Purchased in terms of Popularity | Cosmetics, Perfumes & Toiletries and Healthcare & Wellness Products",%,27.24882457351944
2017,EUROPE,Switzerland,Shopping Items Purchased in terms of Popularity | Confectionery and Food Items,%,29.24855084200946
2017,EUROPE,Switzerland,Shopping Items Purchased in terms of Popularity | Souvenirs and Gifts,%,52.70802166079218
2017,EUROPE,Switzerland,Shopping Items Purchased in terms of Popularity | Genuine Jewellery,%,3.506446675249638
2017,EUROPE,Switzerland,Shopping Items Purchased in terms of Popularity | Consumer Tech,%,8.309078076750666
2017,EUROPE,Switzerland,Shopping Items Purchased in terms of Popularity | Watches and Clocks,%,8.577496304329241
2017,EUROPE,Switzerland,Shopping Items Purchased in terms of Popularity | Others,%,23.81388453905663
2017,EUROPE,Switzerland,Shopping Items Purchased in terms of Amount spent | Fashion and Accessories,%,45.54706762544166
2017,EUROPE,Switzerland,"Shopping Items Purchased in terms of Amount spent | Cosmetics, Perfumes & Toiletries and Healthcare & Wellness Products",%,12.37030250718864
2017,EUROPE,Switzerland,Shopping Items Purchased in terms of Amount spent | Confectionery and Food Items,%,6.539225308487953
2017,EUROPE,Switzerland,Shopping Items Purchased in terms of Amount spent | Souvenirs and Gifts,%,12.23452792878467
2017,EUROPE,Switzerland,Shopping Items Purchased in terms of Amount spent | Genuine Jewellery,%,2.331040359733934
2017,EUROPE,Switzerland,Shopping Items Purchased in terms of Amount spent | Consumer Tech,%,4.470748780414428
2017,EUROPE,Switzerland,Shopping Items Purchased in terms of Amount spent | Watches and Clocks,%,7.734573789473715
2017,EUROPE,Switzerland,Shopping Items Purchased in terms of Amount spent | Others,%,8.772513700284286
2017,EUROPE,UK,Shopping Items Purchased in terms of Popularity | Fashion and Accessories,%,51.79696444086888
2017,EUROPE,UK,"Shopping Items Purchased in terms of Popularity | Cosmetics, Perfumes & Toiletries and Healthcare & Wellness Products",%,34.1665770934725
2017,EUROPE,UK,Shopping Items Purchased in terms of Popularity | Confectionery and Food Items,%,38.06310187388425
2017,EUROPE,UK,Shopping Items Purchased in terms of Popularity | Souvenirs and Gifts,%,60.25677059333501
2017,EUROPE,UK,Shopping Items Purchased in terms of Popularity | Genuine Jewellery,%,2.660366434419987
2017,EUROPE,UK,Shopping Items Purchased in terms of Popularity | Consumer Tech,%,7.08284108163191
2017,EUROPE,UK,Shopping Items Purchased in terms of Popularity | Watches and Clocks,%,4.785246723101074
2017,EUROPE,UK,Shopping Items Purchased in terms of Popularity | Others,%,22.67573536001121
2017,EUROPE,UK,Shopping Items Purchased in terms of Amount spent | Fashion and Accessories,%,34.58913823041627
2017,EUROPE,UK,"Shopping Items Purchased in terms of Amount spent | Cosmetics, Perfumes & Toiletries and Healthcare & Wellness Products",%,14.19040786665327
2017,EUROPE,UK,Shopping Items Purchased in terms of Amount spent | Confectionery and Food Items,%,8.890953788394192
2017,EUROPE,UK,Shopping Items Purchased in terms of Amount spent | Souvenirs and Gifts,%,19.57484427916921
2017,EUROPE,UK,Shopping Items Purchased in terms of Amount spent | Genuine Jewellery,%,6.324230094270628
2017,EUROPE,UK,Shopping Items Purchased in terms of Amount spent | Consumer Tech,%,6.768566263425097
2017,EUROPE,UK,Shopping Items Purchased in terms of Amount spent | Watches and Clocks,%,2.092754413237277
2017,EUROPE,UK,Shopping Items Purchased in terms of Amount spent | Others,%,7.569105064648161
2017,AMERICAS,Canada,Shopping Items Purchased in terms of Popularity | Fashion and Accessories,%,59.27048227578588
2017,AMERICAS,Canada,"Shopping Items Purchased in terms of Popularity | Cosmetics, Perfumes & Toiletries and Healthcare & Wellness Products",%,25.71917555941007
2017,AMERICAS,Canada,Shopping Items Purchased in terms of Popularity | Confectionery and Food Items,%,36.96629639435538
2017,AMERICAS,Canada,Shopping Items Purchased in terms of Popularity | Souvenirs and Gifts,%,44.77530958654469
2017,AMERICAS,Canada,Shopping Items Purchased in terms of Popularity | Genuine Jewellery,%,2.466957600940826
2017,AMERICAS,Canada,Shopping Items Purchased in terms of Popularity | Consumer Tech,%,2.28008922923009
2017,AMERICAS,Canada,Shopping Items Purchased in terms of Popularity | Watches and Clocks,%,2.336128864593478
2017,AMERICAS,Canada,Shopping Items Purchased in terms of Popularity | Others,%,14.58125693999782
2017,AMERICAS,Canada,Shopping Items Purchased in terms of Amount spent | Fashion and Accessories,%,37.39083484350049
2017,AMERICAS,Canada,"Shopping Items Purchased in terms of Amount spent | Cosmetics, Perfumes & Toiletries and Healthcare & Wellness Products",%,14.71290321581537
2017,AMERICAS,Canada,Shopping Items Purchased in terms of Amount spent | Confectionery and Food Items,%,16.10715588785589
2017,AMERICAS,Canada,Shopping Items Purchased in terms of Amount spent | Souvenirs and Gifts,%,13.7060101529398
2017,AMERICAS,Canada,Shopping Items Purchased in terms of Amount spent | Genuine Jewellery,%,2.449305086909825
2017,AMERICAS,Canada,Shopping Items Purchased in terms of Amount spent | Consumer Tech,%,2.470424290778274
2017,AMERICAS,Canada,Shopping Items Purchased in terms of Amount spent | Watches and Clocks,%,2.688324165953628
2017,AMERICAS,Canada,Shopping Items Purchased in terms of Amount spent | Others,%,10.47504235624671
2017,AMERICAS,USA,Shopping Items Purchased in terms of Popularity | Fashion and Accessories,%,48.51597934462119
2017,AMERICAS,USA,"Shopping Items Purchased in terms of Popularity | Cosmetics, Perfumes & Toiletries and Healthcare & Wellness Products",%,29.13449356704344
2017,AMERICAS,USA,Shopping Items Purchased in terms of Popularity | Confectionery and Food Items,%,43.85876346588788
2017,AMERICAS,USA,Shopping Items Purchased in terms of Popularity | Souvenirs and Gifts,%,54.19928879570022
2017,AMERICAS,USA,Shopping Items Purchased in terms of Popularity | Genuine Jewellery,%,3.182082844387782
2017,AMERICAS,USA,Shopping Items Purchased in terms of Popularity | Consumer Tech,%,6.013862791921039
2017,AMERICAS,USA,Shopping Items Purchased in terms of Popularity | Watches and Clocks,%,5.807739168721533
2017,AMERICAS,USA,Shopping Items Purchased in terms of Popularity | Others,%,21.01758055306635
2017,AMERICAS,USA,Shopping Items Purchased in terms of Amount spent | Fashion and Accessories,%,33.61475295746405
2017,AMERICAS,USA,"Shopping Items Purchased in terms of Amount spent | Cosmetics, Perfumes & Toiletries and Healthcare & Wellness Products",%,13.14096213396633
2017,AMERICAS,USA,Shopping Items Purchased in terms of Amount spent | Confectionery and Food Items,%,11.15325204485218
2017,AMERICAS,USA,Shopping Items Purchased in terms of Amount spent | Souvenirs and Gifts,%,19.34910406220995
2017,AMERICAS,USA,Shopping Items Purchased in terms of Amount spent | Genuine Jewellery,%,4.734474440975027
2017,AMERICAS,USA,Shopping Items Purchased in terms of Amount spent | Consumer Tech,%,3.399679306006557
2017,AMERICAS,USA,Shopping Items Purchased in terms of Amount spent | Watches and Clocks,%,3.363275894130435
2017,AMERICAS,USA,Shopping Items Purchased in terms of Amount spent | Others,%,11.24449916045681
2017,OCEANIA,Australia,Shopping Items Purchased in terms of Popularity | Fashion and Accessories,%,60.52539915578892
2017,OCEANIA,Australia,"Shopping Items Purchased in terms of Popularity | Cosmetics, Perfumes & Toiletries and Healthcare & Wellness Products",%,31.55934107439802
2017,OCEANIA,Australia,Shopping Items Purchased in terms of Popularity | Confectionery and Food Items,%,34.90830462603739
2017,OCEANIA,Australia,Shopping Items Purchased in terms of Popularity | Souvenirs and Gifts,%,50.19499032765833
2017,OCEANIA,Australia,Shopping Items Purchased in terms of Popularity | Genuine Jewellery,%,3.13459093074319
2017,OCEANIA,Australia,Shopping Items Purchased in terms of Popularity | Consumer Tech,%,7.226038532770882
2017,OCEANIA,Australia,Shopping Items Purchased in terms of Popularity | Watches and Clocks,%,5.482747809907815
2017,OCEANIA,Australia,Shopping Items Purchased in terms of Popularity | Others,%,15.51387891149208
2017,OCEANIA,Australia,Shopping Items Purchased in terms of Amount spent | Fashion and Accessories,%,34.76204943135525
2017,OCEANIA,Australia,"Shopping Items Purchased in terms of Amount spent | Cosmetics, Perfumes & Toiletries and Healthcare & Wellness Products",%,12.63762550972492
2017,OCEANIA,Australia,Shopping Items Purchased in terms of Amount spent | Confectionery and Food Items,%,6.659304980453253
2017,OCEANIA,Australia,Shopping Items Purchased in terms of Amount spent | Souvenirs and Gifts,%,12.79001237697849
2017,OCEANIA,Australia,Shopping Items Purchased in terms of Amount spent | Genuine Jewellery,%,14.69037625258271
2017,OCEANIA,Australia,Shopping Items Purchased in terms of Amount spent | Consumer Tech,%,6.241465105702402
2017,OCEANIA,Australia,Shopping Items Purchased in terms of Amount spent | Watches and Clocks,%,6.726490149046126
2017,OCEANIA,Australia,Shopping Items Purchased in terms of Amount spent | Others,%,5.492676194120711
2017,OCEANIA,New Zealand,Shopping Items Purchased in terms of Popularity | Fashion and Accessories,%,42.82288941824169
2017,OCEANIA,New Zealand,"Shopping Items Purchased in terms of Popularity | Cosmetics, Perfumes & Toiletries and Healthcare & Wellness Products",%,24.17385045989424
2017,OCEANIA,New Zealand,Shopping Items Purchased in terms of Popularity | Confectionery and Food Items,%,41.50609641876697
2017,OCEANIA,New Zealand,Shopping Items Purchased in terms of Popularity | Souvenirs and Gifts,%,52.89503301675286
2017,OCEANIA,New Zealand,Shopping Items Purchased in terms of Popularity | Genuine Jewellery,%,6.168734012858963
2017,OCEANIA,New Zealand,Shopping Items Purchased in terms of Popularity | Consumer Tech,%,7.638500233307756
2017,OCEANIA,New Zealand,Shopping Items Purchased in terms of Popularity | Watches and Clocks,%,6.796016301794931
2017,OCEANIA,New Zealand,Shopping Items Purchased in terms of Popularity | Others,%,17.56927754096004
2017,OCEANIA,New Zealand,Shopping Items Purchased in terms of Amount spent | Fashion and Accessories,%,28.4259029644159
2017,OCEANIA,New Zealand,"Shopping Items Purchased in terms of Amount spent | Cosmetics, Perfumes & Toiletries and Healthcare & Wellness Products",%,11.40735560041435
2017,OCEANIA,New Zealand,Shopping Items Purchased in terms of Amount spent | Confectionery and Food Items,%,8.819130262203755
2017,OCEANIA,New Zealand,Shopping Items Purchased in terms of Amount spent | Souvenirs and Gifts,%,21.71878000187933
2017,OCEANIA,New Zealand,Shopping Items Purchased in terms of Amount spent | Genuine Jewellery,%,6.580574833508881
2017,OCEANIA,New Zealand,Shopping Items Purchased in terms of Amount spent | Consumer Tech,%,6.319364055816027
2017,OCEANIA,New Zealand,Shopping Items Purchased in terms of Amount spent | Watches and Clocks,%,7.888509061031903
2017,OCEANIA,New Zealand,Shopping Items Purchased in terms of Amount spent | Others,%,8.840383220086494
2017,AFRICA,South Africa (Rep of),Shopping Items Purchased in terms of Popularity | Fashion and Accessories,%,52.61901930971437
2017,AFRICA,South Africa (Rep of),"Shopping Items Purchased in terms of Popularity | Cosmetics, Perfumes & Toiletries and Healthcare & Wellness Products",%,32.45770499828109
2017,AFRICA,South Africa (Rep of),Shopping Items Purchased in terms of Popularity | Confectionery and Food Items,%,32.96615157983538
2017,AFRICA,South Africa (Rep of),Shopping Items Purchased in terms of Popularity | Souvenirs and Gifts,%,50.0977099057738
2017,AFRICA,South Africa (Rep of),Shopping Items Purchased in terms of Popularity | Genuine Jewellery,%,2.208135454262715
2017,AFRICA,South Africa (Rep of),Shopping Items Purchased in terms of Popularity | Consumer Tech,%,3.685981647762747
2017,AFRICA,South Africa (Rep of),Shopping Items Purchased in terms of Popularity | Watches and Clocks,%,5.413491075848219
2017,AFRICA,South Africa (Rep of),Shopping Items Purchased in terms of Popularity | Others,%,7.134351138817378
2017,AFRICA,South Africa (Rep of),Shopping Items Purchased in terms of Amount spent | Fashion and Accessories,%,54.14313273169257
2017,AFRICA,South Africa (Rep of),"Shopping Items Purchased in terms of Amount spent | Cosmetics, Perfumes & Toiletries and Healthcare & Wellness Products",%,7.339375657933119
2017,AFRICA,South Africa (Rep of),Shopping Items Purchased in terms of Amount spent | Confectionery and Food Items,%,4.102896785363428
2017,AFRICA,South Africa (Rep of),Shopping Items Purchased in terms of Amount spent | Souvenirs and Gifts,%,7.380541433648517
2017,AFRICA,South Africa (Rep of),Shopping Items Purchased in terms of Amount spent | Genuine Jewellery,%,4.489427899847049
2017,AFRICA,South Africa (Rep of),Shopping Items Purchased in terms of Amount spent | Consumer Tech,%,4.711602335979383
2017,AFRICA,South Africa (Rep of),Shopping Items Purchased in terms of Amount spent | Watches and Clocks,%,16.69892464301757
2017,AFRICA,South Africa (Rep of),Shopping Items Purchased in terms of Amount spent | Others,%,1.134098512518379
2017,REMAINING,Others,Shopping Items Purchased in terms of Popularity | Fashion and Accessories,%,60.26698547470637
2017,REMAINING,Others,"Shopping Items Purchased in terms of Popularity | Cosmetics, Perfumes & Toiletries and Healthcare & Wellness Products",%,36.69537905129929
2017,REMAINING,Others,Shopping Items Purchased in terms of Popularity | Confectionery and Food Items,%,43.45462968189944
2017,REMAINING,Others,Shopping Items Purchased in terms of Popularity | Souvenirs and Gifts,%,47.57381618720974
2017,REMAINING,Others,Shopping Items Purchased in terms of Popularity | Genuine Jewellery,%,5.691933150541476
2017,REMAINING,Others,Shopping Items Purchased in terms of Popularity | Consumer Tech,%,10.02917072675444
2017,REMAINING,Others,Shopping Items Purchased in terms of Popularity | Watches and Clocks,%,7.738291844138677
2017,REMAINING,Others,Shopping Items Purchased in terms of Popularity | Others,%,14.35100282212758
2017,REMAINING,Others,Shopping Items Purchased in terms of Amount spent | Fashion and Accessories,%,37.67512577268273
2017,REMAINING,Others,"Shopping Items Purchased in terms of Amount spent | Cosmetics, Perfumes & Toiletries and Healthcare & Wellness Products",%,14.24822908017681
2017,REMAINING,Others,Shopping Items Purchased in terms of Amount spent | Confectionery and Food Items,%,8.078009336926307
2017,REMAINING,Others,Shopping Items Purchased in terms of Amount spent | Souvenirs and Gifts,%,10.06260534147313
2017,REMAINING,Others,Shopping Items Purchased in terms of Amount spent | Genuine Jewellery,%,11.12243511610522
2017,REMAINING,Others,Shopping Items Purchased in terms of Amount spent | Consumer Tech,%,9.663000443499108
2017,REMAINING,Others,Shopping Items Purchased in terms of Amount spent | Watches and Clocks,%,2.706487645283478
2017,REMAINING,Others,Shopping Items Purchased in terms of Amount spent | Others,%,6.444107263823684
2016,SOUTHEAST ASIA,Indonesia,Shopping Items Purchased in terms of Popularity | Fashion and Accessories,%,63.85328249110002
2016,SOUTHEAST ASIA,Indonesia,"Shopping Items Purchased in terms of Popularity | Cosmetics, Perfumes & Toiletries and Healthcare & Wellness Products",%,35.53114750138724
2016,SOUTHEAST ASIA,Indonesia,Shopping Items Purchased in terms of Popularity | Confectionery and Food Items,%,46.19702221229416
2016,SOUTHEAST ASIA,Indonesia,Shopping Items Purchased in terms of Popularity | Souvenirs and Gifts,%,33.99308716649315
2016,SOUTHEAST ASIA,Indonesia,Shopping Items Purchased in terms of Popularity | Genuine Jewellery,%,2.912895764582007
2016,SOUTHEAST ASIA,Indonesia,Shopping Items Purchased in terms of Popularity | Consumer Tech,%,7.19168261220686
2016,SOUTHEAST ASIA,Indonesia,Shopping Items Purchased in terms of Popularity | Watches and Clocks,%,5.870631234098983
2016,SOUTHEAST ASIA,Indonesia,Shopping Items Purchased in terms of Popularity | Others,%,11.77552171471489
2016,SOUTHEAST ASIA,Indonesia,Shopping Items Purchased in terms of Amount spent | Fashion and Accessories,%,48.35474902476877
2016,SOUTHEAST ASIA,Indonesia,"Shopping Items Purchased in terms of Amount spent | Cosmetics, Perfumes & Toiletries and Healthcare & Wellness Products",%,17.30327995222209
2016,SOUTHEAST ASIA,Indonesia,Shopping Items Purchased in terms of Amount spent | Confectionery and Food Items,%,9.009879459559825
2016,SOUTHEAST ASIA,Indonesia,Shopping Items Purchased in terms of Amount spent | Souvenirs and Gifts,%,7.317372092089618
2016,SOUTHEAST ASIA,Indonesia,Shopping Items Purchased in terms of Amount spent | Genuine Jewellery,%,3.235805509035569
2016,SOUTHEAST ASIA,Indonesia,Shopping Items Purchased in terms of Amount spent | Consumer Tech,%,7.068456199218804
2016,SOUTHEAST ASIA,Indonesia,Shopping Items Purchased in terms of Amount spent | Watches and Clocks,%,3.84210988611698
2016,SOUTHEAST ASIA,Indonesia,Shopping Items Purchased in terms of Amount spent | Others,%,3.868347877016617
2016,SOUTHEAST ASIA,Malaysia,Shopping Items Purchased in terms of Popularity | Fashion and Accessories,%,55.72867183247268
2016,SOUTHEAST ASIA,Malaysia,"Shopping Items Purchased in terms of Popularity | Cosmetics, Perfumes & Toiletries and Healthcare & Wellness Products",%,36.62706256454284
2016,SOUTHEAST ASIA,Malaysia,Shopping Items Purchased in terms of Popularity | Confectionery and Food Items,%,45.06309867842986
2016,SOUTHEAST ASIA,Malaysia,Shopping Items Purchased in terms of Popularity | Souvenirs and Gifts,%,35.93506458192478
2016,SOUTHEAST ASIA,Malaysia,Shopping Items Purchased in terms of Popularity | Genuine Jewellery,%,3.123212498734797
2016,SOUTHEAST ASIA,Malaysia,Shopping Items Purchased in terms of Popularity | Consumer Tech,%,5.319982416764517
2016,SOUTHEAST ASIA,Malaysia,Shopping Items Purchased in terms of Popularity | Watches and Clocks,%,7.174439675346876
2016,SOUTHEAST ASIA,Malaysia,Shopping Items Purchased in terms of Popularity | Others,%,22.05080100816586
2016,SOUTHEAST ASIA,Malaysia,Shopping Items Purchased in terms of Amount spent | Fashion and Accessories,%,39.48867987569228
2016,SOUTHEAST ASIA,Malaysia,"Shopping Items Purchased in terms of Amount spent | Cosmetics, Perfumes & Toiletries and Healthcare & Wellness Products",%,18.77129650028947
2016,SOUTHEAST ASIA,Malaysia,Shopping Items Purchased in terms of Amount spent | Confectionery and Food Items,%,13.21511060854656
2016,SOUTHEAST ASIA,Malaysia,Shopping Items Purchased in terms of Amount spent | Souvenirs and Gifts,%,10.21995048532785
2016,SOUTHEAST ASIA,Malaysia,Shopping Items Purchased in terms of Amount spent | Genuine Jewellery,%,2.740124784808456
2016,SOUTHEAST ASIA,Malaysia,Shopping Items Purchased in terms of Amount spent | Consumer Tech,%,5.425380103766073
2016,SOUTHEAST ASIA,Malaysia,Shopping Items Purchased in terms of Amount spent | Watches and Clocks,%,2.765465300180786
2016,SOUTHEAST ASIA,Malaysia,Shopping Items Purchased in terms of Amount spent | Others,%,7.373992341319895
2016,SOUTHEAST ASIA,Philippines,Shopping Items Purchased in terms of Popularity | Fashion and Accessories,%,64.18906292904657
2016,SOUTHEAST ASIA,Philippines,"Shopping Items Purchased in terms of Popularity | Cosmetics, Perfumes & Toiletries and Healthcare & Wellness Products",%,31.48516462680795
2016,SOUTHEAST ASIA,Philippines,Shopping Items Purchased in terms of Popularity | Confectionery and Food Items,%,42.94233193035803
2016,SOUTHEAST ASIA,Philippines,Shopping Items Purchased in terms of Popularity | Souvenirs and Gifts,%,48.98651296940398
2016,SOUTHEAST ASIA,Philippines,Shopping Items Purchased in terms of Popularity | Genuine Jewellery,%,3.497927223106662
2016,SOUTHEAST ASIA,Philippines,Shopping Items Purchased in terms of Popularity | Consumer Tech,%,8.545343659074332
2016,SOUTHEAST ASIA,Philippines,Shopping Items Purchased in terms of Popularity | Watches and Clocks,%,6.305923569482577
2016,SOUTHEAST ASIA,Philippines,Shopping Items Purchased in terms of Popularity | Others,%,20.17277778648464
