year,region,residence,metric,unit,value
2017,TOTAL,TOTAL,Shopping Items Purchased in terms of Amount spent | Others,%,6.0
2016,TOTAL,TOTAL,Shopping Items Purchased in terms of Popularity | Fashion and Accessories,%,58.0
2016,TOTAL,TOTAL,"Shopping Items Purchased in terms of Popularity | Cosmetics, Perfumes & Toiletries and Healthcare & Wellness Products",%,39.0
2016,TOTAL,TOTAL,Shopping Items Purchased in terms of Popularity | Confectionery and Food Items,%,44.0
2016,TOTAL,TOTAL,Shopping Items Purchased in terms of Popularity | Souvenirs and Gifts,%,47.0
2016,TOTAL,TOTAL,Shopping Items Purchased in terms of Popularity | Genuine Jewellery,%,5.0
2016,TOTAL,TOTAL,Shopping Items Purchased in terms of Popularity | Consumer Tech,%,6.0
2016,TOTAL,TOTAL,Shopping Items Purchased in terms of Popularity | Watches and Clocks,%,7.0
2016,TOTAL,TOTAL,Shopping Items Purchased in terms of Popularity | Others,%,21.0
2016,TOTAL,TOTAL,Shopping Items Purchased in terms of Amount spent | Fashion and Accessories,%,41.0
2016,TOTAL,TOTAL,"Shopping Items Purchased in terms of Amount spent | Cosmetics, Perfumes & Toiletries and Healthcare & Wellness Products",%,17.0
2016,TOTAL,TOTAL,Shopping Items Purchased in terms of Amount spent | Confectionery and Food Items,%,9.0
2016,TOTAL,TOTAL,Shopping Items Purchased in terms of Amount spent | Souvenirs and Gifts,%,11.0
2016,TOTAL,TOTAL,Shopping Items Purchased in terms of Amount spent | Genuine Jewellery,%,6.0
2016,TOTAL,TOTAL,Shopping Items Purchased in terms of Amount spent | Consumer Tech,%,5.0
2016,TOTAL,TOTAL,Shopping Items Purchased in terms of Amount spent | Watches and Clocks,%,4.0
2016,TOTAL,TOTAL,Shopping Items Purchased in terms of Amount spent | Others,%,8.0
2015,TOTAL,TOTAL,Shopping Items Purchased in terms of Popularity | Fashion and Accessories,%,43.0
2015,TOTAL,TOTAL,"Shopping Items Purchased in terms of Popularity | Cosmetics, Perfumes & Toiletries and Healthcare & Wellness Products",%,21.0
2015,TOTAL,TOTAL,Shopping Items Purchased in terms of Popularity | Confectionery and Food Items,%,43.0
2015,TOTAL,TOTAL,Shopping Items Purchased in terms of Popularity | Souvenirs and Gifts,%,28.0
2015,TOTAL,TOTAL,Shopping Items Purchased in terms of Popularity | Genuine Jewellery,%,2.0
2015,TOTAL,TOTAL,Shopping Items Purchased in terms of Popularity | Consumer Tech,%,7.0
2015,TOTAL,TOTAL,Shopping Items Purchased in terms of Popularity | Watches and Clocks,%,2.0
2015,TOTAL,TOTAL,Shopping Items Purchased in terms of Popularity | Others,%,1.0
