series,level,date,value
20-24 Years,group,2018-03,92967
20-24 Years,group,2018-04,79114
20-24 Years,group,2018-05,86281
20-24 Years,group,2018-06,105056
20-24 Years,group,2018-07,129865
20-24 Years,group,2018-08,126185
20-24 Years,group,2018-09,100917
20-24 Years,group,2018-10,83504
20-24 Years,group,2018-11,84627
20-24 Years,group,2018-12,102776
20-24 Years,group,2019-01,106986
20-24 Years,group,2019-02,96595
20-24 Years,group,2019-03,86146
20-24 Years,group,2019-04,83078
20-24 Years,group,2019-05,85956
20-24 Years,group,2019-06,106258
20-24 Years,group,2019-07,134811
20-24 Years,group,2019-08,129418
20-24 Years,group,2019-09,104935
20-24 Years,group,2019-10,87326
20-24 Years,group,2019-11,90550
20-24 Years,group,2019-12,110732
20-24 Years,group,2020-01,110621
20-24 Years,group,2020-02,59710
20-24 Years,group,2020-03,21276
20-24 Years,group,2020-04,24
20-24 Years,group,2020-05,41
20-24 Years,group,2020-06,139
20-24 Years,group,2020-07,800
20-24 Years,group,2020-08,1546
20-24 Years,group,2020-09,1204
20-24 Years,group,2020-10,1538
20-24 Years,group,2020-11,1161
20-24 Years,group,2020-12,3349
20-24 Years,group,2021-01,3055
20-24 Years,group,2021-02,1885
20-24 Years,group,2021-03,2840
20-24 Years,group,2021-04,2748
20-24 Years,group,2021-05,1585
20-24 Years,group,2021-06,920
20-24 Years,group,2021-07,4360
20-24 Years,group,2021-08,2444
20-24 Years,group,2021-09,1547
20-24 Years,group,2021-10,2289
20-24 Years,group,2021-11,3736
20-24 Years,group,2021-12,10489
20-24 Years,group,2022-01,6139
20-24 Years,group,2022-02,5307
20-24 Years,group,2022-03,8833
20-24 Years,group,2022-04,18761
20-24 Years,group,2022-05,28871
20-24 Years,group,2022-06,42754
20-24 Years,group,2022-07,66276
20-24 Years,group,2022-08,66314
20-24 Years,group,2022-09,59783
20-24 Years,group,2022-10,51624
20-24 Years,group,2022-11,51327
20-24 Years,group,2022-12,65231
20-24 Years,group,2023-01,67248
20-24 Years,group,2023-02,65498
20-24 Years,group,2023-03,59341
20-24 Years,group,2023-04,62125
20-24 Years,group,2023-05,68402
20-24 Years,group,2023-06,78138
20-24 Years,group,2023-07,106091
20-24 Years,group,2023-08,99781
20-24 Years,group,2023-09,76408
20-24 Years,group,2023-10,61067
20-24 Years,group,2023-11,60792
20-24 Years,group,2023-12,77330
20-24 Years,group,2024-01,97560
20-24 Years,group,2024-02,87578
20-24 Years,group,2024-03,101093
20-24 Years,group,2024-04,76292
20-24 Years,group,2024-05,77436
20-24 Years,group,2024-06,89265
20-24 Years,group,2024-07,126991
20-24 Years,group,2024-08,121870
20-24 Years,group,2024-09,94180
20-24 Years,group,2024-10,76182
20-24 Years,group,2024-11,72083
20-24 Years,group,2024-12,91704
20-24 Years,group,2025-01,109166
20-24 Years,group,2025-02,93307
20-24 Years,group,2025-03,77394
20-24 Years,group,2025-04,77353
20-24 Years,group,2025-05,88613
20-24 Years,group,2025-06,91504
20-24 Years,group,2025-07,139290
20-24 Years,group,2025-08,129943
20-24 Years,group,2025-09,93223
20-24 Years,group,2025-10,84151
20-24 Years,group,2025-11,83203
20-24 Years,group,2025-12,86426
20-24 Years,group,2026-01,115027
20-24 Years,group,2026-02,95043
20-24 Years,group,2026-03,91096
20-24 Years,group,2026-04,72906
20-24 Years,group,2026-05,81403
20-24 Years,group,2026-06,84901
25-34 Years,group,2008-01,200758
25-34 Years,group,2008-02,186124
25-34 Years,group,2008-03,207814
25-34 Years,group,2008-04,194517
25-34 Years,group,2008-05,199571
25-34 Years,group,2008-06,193851
25-34 Years,group,2008-07,206152
25-34 Years,group,2008-08,203437
25-34 Years,group,2008-09,194776
25-34 Years,group,2008-10,202118
25-34 Years,group,2008-11,185178
25-34 Years,group,2008-12,203587
25-34 Years,group,2009-01,172572
25-34 Years,group,2009-02,161808
25-34 Years,group,2009-03,178191
25-34 Years,group,2009-04,176697
25-34 Years,group,2009-05,178883
25-34 Years,group,2009-06,174049
25-34 Years,group,2009-07,196127
25-34 Years,group,2009-08,200101
25-34 Years,group,2009-09,200133
25-34 Years,group,2009-10,206237
25-34 Years,group,2009-11,198024
25-34 Years,group,2009-12,213822
25-34 Years,group,2010-01,207351
25-34 Years,group,2010-02,191112
25-34 Years,group,2010-03,210247
25-34 Years,group,2010-04,215334
25-34 Years,group,2010-05,224168
25-34 Years,group,2010-06,210797
25-34 Years,group,2010-07,230664
25-34 Years,group,2010-08,225989
25-34 Years,group,2010-09,230205
25-34 Years,group,2010-10,233885
25-34 Years,group,2010-11,225533
25-34 Years,group,2010-12,240016
25-34 Years,group,2011-01,234491
25-34 Years,group,2011-02,224307
25-34 Years,group,2011-03,242407
25-34 Years,group,2011-04,245797
25-34 Years,group,2011-05,245391
25-34 Years,group,2011-06,242729
25-34 Years,group,2011-07,268765
25-34 Years,group,2011-08,262087
25-34 Years,group,2011-09,264880
25-34 Years,group,2011-10,256463
25-34 Years,group,2011-11,248649
25-34 Years,group,2011-12,268262
25-34 Years,group,2012-01,258475
25-34 Years,group,2012-02,266657
25-34 Years,group,2012-03,281338
25-34 Years,group,2012-04,271710
25-34 Years,group,2012-05,267939
25-34 Years,group,2012-06,257695
25-34 Years,group,2012-07,272198
25-34 Years,group,2012-08,287528
25-34 Years,group,2012-09,276761
25-34 Years,group,2012-10,286080
25-34 Years,group,2012-11,283180
25-34 Years,group,2012-12,294474
25-34 Years,group,2013-01,288056
25-34 Years,group,2013-02,269516
25-34 Years,group,2013-03,296175
25-34 Years,group,2013-04,283439
25-34 Years,group,2013-05,295530
25-34 Years,group,2013-06,287684
25-34 Years,group,2013-07,292653
25-34 Years,group,2013-08,318155
25-34 Years,group,2013-09,303924
25-34 Years,group,2013-10,288614
25-34 Years,group,2013-11,280643
25-34 Years,group,2013-12,296588
25-34 Years,group,2014-01,289937
25-34 Years,group,2014-02,278601
25-34 Years,group,2014-03,298016
25-34 Years,group,2014-04,286384
25-34 Years,group,2014-05,297250
25-34 Years,group,2014-06,265077
25-34 Years,group,2014-07,288800
25-34 Years,group,2014-08,303440
25-34 Years,group,2014-09,288578
25-34 Years,group,2014-10,294361
25-34 Years,group,2014-11,277952
25-34 Years,group,2014-12,288004
25-34 Years,group,2015-01,270410
25-34 Years,group,2015-02,251059
25-34 Years,group,2015-03,272083
25-34 Years,group,2015-04,275269
25-34 Years,group,2015-05,292179
25-34 Years,group,2015-06,265036
