series,level,freq,date,value
1 Day (Number),group,monthly,2025-05,216536.0
1 Day (Number),group,monthly,2025-06,189034.0
1 Day (Number),group,monthly,2025-07,247778.0
1 Day (Number),group,monthly,2025-08,243914.0
1 Day (Number),group,monthly,2025-09,188821.0
1 Day (Number),group,monthly,2025-10,208329.0
1 Day (Number),group,monthly,2025-11,214170.0
1 Day (Number),group,monthly,2025-12,197397.0
1 Day (Number),group,monthly,2026-01,246232.0
1 Day (Number),group,monthly,2026-02,232585.0
1 Day (Number),group,monthly,2026-03,243149.0
1 Day (Number),group,monthly,2026-04,215224.0
1 Day (Number),group,monthly,2026-05,200315.0
1 Day (Number),group,monthly,2026-06,181762.0
11-14 Days (Number),group,monthly,2008-01,18951.0
11-14 Days (Number),group,monthly,2008-02,15057.0
11-14 Days (Number),group,monthly,2008-03,14484.0
11-14 Days (Number),group,monthly,2008-04,14635.0
11-14 Days (Number),group,monthly,2008-05,14990.0
11-14 Days (Number),group,monthly,2008-06,15996.0
11-14 Days (Number),group,monthly,2008-07,19173.0
11-14 Days (Number),group,monthly,2008-08,17949.0
11-14 Days (Number),group,monthly,2008-09,12751.0
11-14 Days (Number),group,monthly,2008-10,16042.0
11-14 Days (Number),group,monthly,2008-11,12993.0
11-14 Days (Number),group,monthly,2008-12,14849.0
11-14 Days (Number),group,monthly,2009-01,19644.0
11-14 Days (Number),group,monthly,2009-02,12949.0
11-14 Days (Number),group,monthly,2009-03,12693.0
11-14 Days (Number),group,monthly,2009-04,13732.0
11-14 Days (Number),group,monthly,2009-05,13333.0
11-14 Days (Number),group,monthly,2009-06,14774.0
11-14 Days (Number),group,monthly,2009-07,18829.0
11-14 Days (Number),group,monthly,2009-08,17048.0
11-14 Days (Number),group,monthly,2009-09,14122.0
11-14 Days (Number),group,monthly,2009-10,14649.0
11-14 Days (Number),group,monthly,2009-11,13058.0
11-14 Days (Number),group,monthly,2009-12,15741.0
11-14 Days (Number),group,monthly,2010-01,20621.0
11-14 Days (Number),group,monthly,2010-02,15322.0
11-14 Days (Number),group,monthly,2010-03,14672.0
11-14 Days (Number),group,monthly,2010-04,16330.0
11-14 Days (Number),group,monthly,2010-05,15433.0
11-14 Days (Number),group,monthly,2010-06,17298.0
11-14 Days (Number),group,monthly,2010-07,21458.0
11-14 Days (Number),group,monthly,2010-08,20298.0
11-14 Days (Number),group,monthly,2010-09,15878.0
11-14 Days (Number),group,monthly,2010-10,15832.0
11-14 Days (Number),group,monthly,2010-11,14503.0
11-14 Days (Number),group,monthly,2010-12,17053.0
11-14 Days (Number),group,monthly,2011-01,22885.0
11-14 Days (Number),group,monthly,2011-02,15911.0
11-14 Days (Number),group,monthly,2011-03,16370.0
11-14 Days (Number),group,monthly,2011-04,17330.0
11-14 Days (Number),group,monthly,2011-05,16506.0
11-14 Days (Number),group,monthly,2011-06,18381.0
11-14 Days (Number),group,monthly,2011-07,23883.0
11-14 Days (Number),group,monthly,2011-08,20269.0
11-14 Days (Number),group,monthly,2011-09,17168.0
11-14 Days (Number),group,monthly,2011-10,16905.0
11-14 Days (Number),group,monthly,2011-11,16429.0
11-14 Days (Number),group,monthly,2011-12,18059.0
11-14 Days (Number),group,monthly,2012-01,24806.0
11-14 Days (Number),group,monthly,2012-02,16506.0
11-14 Days (Number),group,monthly,2012-03,16490.0
11-14 Days (Number),group,monthly,2012-04,17953.0
11-14 Days (Number),group,monthly,2012-05,16799.0
11-14 Days (Number),group,monthly,2012-06,18960.0
11-14 Days (Number),group,monthly,2012-07,22414.0
11-14 Days (Number),group,monthly,2012-08,22330.0
11-14 Days (Number),group,monthly,2012-09,15527.0
11-14 Days (Number),group,monthly,2012-10,16141.0
11-14 Days (Number),group,monthly,2012-11,15491.0
11-14 Days (Number),group,monthly,2012-12,17817.0
11-14 Days (Number),group,monthly,2013-01,24293.0
11-14 Days (Number),group,monthly,2013-02,17726.0
11-14 Days (Number),group,monthly,2013-03,17646.0
11-14 Days (Number),group,monthly,2013-04,17817.0
11-14 Days (Number),group,monthly,2013-05,17853.0
11-14 Days (Number),group,monthly,2013-06,19290.0
11-14 Days (Number),group,monthly,2013-07,22468.0
11-14 Days (Number),group,monthly,2013-08,25145.0
11-14 Days (Number),group,monthly,2013-09,15924.0
11-14 Days (Number),group,monthly,2013-10,16880.0
11-14 Days (Number),group,monthly,2013-11,16582.0
11-14 Days (Number),group,monthly,2013-12,17879.0
11-14 Days (Number),group,monthly,2014-01,26687.0
11-14 Days (Number),group,monthly,2014-02,18842.0
11-14 Days (Number),group,monthly,2014-03,18121.0
11-14 Days (Number),group,monthly,2014-04,18244.0
11-14 Days (Number),group,monthly,2014-05,18037.0
11-14 Days (Number),group,monthly,2014-06,19082.0
11-14 Days (Number),group,monthly,2014-07,22962.0
11-14 Days (Number),group,monthly,2014-08,24101.0
11-14 Days (Number),group,monthly,2014-09,16239.0
11-14 Days (Number),group,monthly,2014-10,17829.0
11-14 Days (Number),group,monthly,2014-11,16722.0
11-14 Days (Number),group,monthly,2014-12,19206.0
11-14 Days (Number),group,monthly,2015-01,27097.0
11-14 Days (Number),group,monthly,2015-02,17898.0
11-14 Days (Number),group,monthly,2015-03,18884.0
11-14 Days (Number),group,monthly,2015-04,18300.0
11-14 Days (Number),group,monthly,2015-05,18871.0
11-14 Days (Number),group,monthly,2015-06,20431.0
11-14 Days (Number),group,monthly,2015-07,23411.0
11-14 Days (Number),group,monthly,2015-08,24466.0
